DIV	Gen_frac
0	5.34E-05
1	0.000224325
2	0.000195636
3	0.000310964
4	0.000312797
5	0.00039503
6	0.000398143
7	0.000314717
8	0.000277297
9	0.000234015
10	0.000235999
11	0.000255861
12	0.000265822
13	0.000303091
14	0.000292749
15	0.000298209
16	0.000290529
17	0.000241986
18	0.000267657
19	0.000208833
20	0.00018767
21	0.000164891
22	0.0001063
23	0.000115029
24	9.81E-05
25	9.73E-05
26	7.08E-05
27	5.67E-05
28	3.94E-05
29	2.68E-05
30	2.23E-05
31	2.10E-05
32	1.05E-05
33	1.05E-05
34	1.41E-05
35	8.06E-06
36	8.28E-06
37	3.88E-06
38	3.53E-06
39	4.21E-06
40	3.07E-06
41	4.46E-06
42	3.98E-06
43	3.61E-06
44	3.44E-06
45	4.12E-06
46	6.72E-06
47	3.64E-06
48	3.67E-06
49	1.36E-06
50	4.59E-06
